"file.name","behavior","label","strain","rat.id","recording","usv.count","total","percent"
"T0000105","LKP","complex","SD","SD17","MBT",11,230,0.0478260869565217
"T0000124","LKP","complex","WK","WK26","MBT",4,29,0.137931034482759
"T0000141","LKP","complex","SD","SD24","MBT",1,5,0.2
"T0000152","LKP","complex","SD","SD25E4","MBT",1,57,0.0175438596491228
"T0000155","LKP","complex","SD","SD17E3","MBT",0,6,0
"T0000185","LKP","complex","WK","WK29E2","MBT",0,0,NA
"T0000190","LKP","complex","WK","WK34G1","MBT",0,1,0
"T0000195","LKP","complex","SD","SD31E5","MBT",0,12,0
"T0000228","LKP","complex","WK","WK77","MBT",0,10,0
"T0000242","LKP","complex","SD","SD76","MBT",0,0,NA
"T0000254","LKP","complex","SD","SD78","MBT",0,0,NA
"T0000303","LKP","complex","WK","WK95","MBT",0,13,0
"T0000085","Retrieval","flat","SD","SD22","MBT",1430,1874,0.76307363927428
"T0000091","Retrieval","flat","WK","WK21","MBT",107,284,0.376760563380282
"T0000096","Retrieval","flat","WK","WK2A3C1","MBT",28,156,0.179487179487179
"T0000105","Retrieval","flat","SD","SD17","MBT",378,614,0.615635179153095
"T0000124","Retrieval","flat","WK","WK26","MBT",19,117,0.162393162393162
"T0000141","Retrieval","flat","SD","SD24","MBT",264,414,0.63768115942029
"T0000152","Retrieval","flat","SD","SD25E4","MBT",656,1035,0.633816425120773
"T0000155","Retrieval","flat","SD","SD17E3","MBT",670,946,0.708245243128964
"T0000185","Retrieval","flat","WK","WK29E2","MBT",98,269,0.364312267657993
"T0000190","Retrieval","flat","WK","WK34G1","MBT",95,373,0.254691689008043
"T0000195","Retrieval","flat","SD","SD31E5","MBT",148,217,0.682027649769585
"T0000228","Retrieval","flat","WK","WK77","MBT",86,237,0.362869198312236
"T0000242","Retrieval","flat","SD","SD76","MBT",295,420,0.702380952380952
"T0000254","Retrieval","flat","SD","SD78","MBT",183,360,0.508333333333333
"T0000303","Retrieval","flat","WK","WK95","MBT",11,147,0.0748299319727891
"T0000085","Hover","flat","SD","SD22","MBT",929,1319,0.704321455648218
"T0000091","Hover","flat","WK","WK21","MBT",52,118,0.440677966101695
"T0000096","Hover","flat","WK","WK2A3C1","MBT",7,18,0.388888888888889
"T0000105","Hover","flat","SD","SD17","MBT",233,317,0.735015772870662
"T0000124","Hover","flat","WK","WK26","MBT",161,357,0.450980392156863
"T0000141","Hover","flat","SD","SD24","MBT",65,140,0.464285714285714
"T0000152","Hover","flat","SD","SD25E4","MBT",249,381,0.653543307086614
"T0000155","Hover","flat","SD","SD17E3","MBT",475,624,0.761217948717949
"T0000185","Hover","flat","WK","WK29E2","MBT",27,40,0.675
"T0000190","Hover","flat","WK","WK34G1","MBT",29,84,0.345238095238095
"T0000195","Hover","flat","SD","SD31E5","MBT",95,158,0.60126582278481
"T0000228","Hover","flat","WK","WK77","MBT",24,64,0.375
"T0000242","Hover","flat","SD","SD76","MBT",182,284,0.640845070422535
"T0000254","Hover","flat","SD","SD78","MBT",108,169,0.63905325443787
"T0000303","Hover","flat","WK","WK95","MBT",8,62,0.129032258064516
"T0000085","LKP","flat","SD","SD22","MBT",57,80,0.7125
"T0000091","LKP","flat","WK","WK21","MBT",49,102,0.480392156862745
"T0000096","LKP","flat","WK","WK2A3C1","MBT",2,16,0.125
"T0000105","LKP","flat","SD","SD17","MBT",112,230,0.48695652173913
"T0000124","LKP","flat","WK","WK26","MBT",8,29,0.275862068965517
"T0000141","LKP","flat","SD","SD24","MBT",2,5,0.4
"T0000152","LKP","flat","SD","SD25E4","MBT",37,57,0.649122807017544
"T0000155","LKP","flat","SD","SD17E3","MBT",6,6,1
"T0000185","LKP","flat","WK","WK29E2","MBT",0,0,NA
"T0000190","LKP","flat","WK","WK34G1","MBT",1,1,1
"T0000195","LKP","flat","SD","SD31E5","MBT",10,12,0.833333333333333
"T0000228","LKP","flat","WK","WK77","MBT",5,10,0.5
"T0000242","LKP","flat","SD","SD76","MBT",0,0,NA
"T0000254","LKP","flat","SD","SD78","MBT",0,0,NA
"T0000303","LKP","flat","WK","WK95","MBT",8,13,0.615384615384615
"T0000085","Retrieval","flat-mz","SD","SD22","MBT",73,1874,0.0389541088580576
"T0000091","Retrieval","flat-mz","WK","WK21","MBT",9,284,0.0316901408450704
"T0000096","Retrieval","flat-mz","WK","WK2A3C1","MBT",0,156,0
"T0000105","Retrieval","flat-mz","SD","SD17","MBT",69,614,0.112377850162866
"T0000124","Retrieval","flat-mz","WK","WK26","MBT",1,117,0.00854700854700855
"T0000141","Retrieval","flat-mz","SD","SD24","MBT",69,414,0.166666666666667
"T0000152","Retrieval","flat-mz","SD","SD25E4","MBT",27,1035,0.0260869565217391
"T0000155","Retrieval","flat-mz","SD","SD17E3","MBT",61,946,0.0644820295983087
"T0000185","Retrieval","flat-mz","WK","WK29E2","MBT",5,269,0.0185873605947955
"T0000190","Retrieval","flat-mz","WK","WK34G1","MBT",12,373,0.032171581769437
"T0000195","Retrieval","flat-mz","SD","SD31E5","MBT",15,217,0.0691244239631336
"T0000228","Retrieval","flat-mz","WK","WK77","MBT",7,237,0.029535864978903
"T0000242","Retrieval","flat-mz","SD","SD76","MBT",24,420,0.0571428571428571
"T0000254","Retrieval","flat-mz","SD","SD78","MBT",29,360,0.0805555555555556
"T0000303","Retrieval","flat-mz","WK","WK95","MBT",1,147,0.00680272108843537
"T0000085","Hover","flat-mz","SD","SD22","MBT",40,1319,0.0303260045489007
"T0000091","Hover","flat-mz","WK","WK21","MBT",2,118,0.0169491525423729
"T0000096","Hover","flat-mz","WK","WK2A3C1","MBT",0,18,0
"T0000105","Hover","flat-mz","SD","SD17","MBT",1,317,0.00315457413249211
"T0000124","Hover","flat-mz","WK","WK26","MBT",3,357,0.00840336134453781
"T0000141","Hover","flat-mz","SD","SD24","MBT",13,140,0.0928571428571429
"T0000152","Hover","flat-mz","SD","SD25E4","MBT",8,381,0.020997375328084
"T0000155","Hover","flat-mz","SD","SD17E3","MBT",21,624,0.0336538461538462
"T0000185","Hover","flat-mz","WK","WK29E2","MBT",0,40,0
"T0000190","Hover","flat-mz","WK","WK34G1","MBT",5,84,0.0595238095238095
"T0000195","Hover","flat-mz","SD","SD31E5","MBT",4,158,0.0253164556962025
"T0000228","Hover","flat-mz","WK","WK77","MBT",2,64,0.03125
"T0000242","Hover","flat-mz","SD","SD76","MBT",8,284,0.028169014084507
"T0000254","Hover","flat-mz","SD","SD78","MBT",0,169,0
"T0000303","Hover","flat-mz","WK","WK95","MBT",0,62,0
